ano,mes,ano_mes,corretora,descricao
2013,02,201302,Souza Barros CCT,"Saem: , Raia Drogasil ON"
2013,02,201302,XP Investimentos,"Entram: Anhanguera ON, Arteris ON, Grazziotin PN"
2013,02,201302,XP Investimentos,"Saem: Cosan ON, Banrisul PNB, Pão de Açúcar PN"
2013,03,201303,Ágora Investimentos,"Entram: BM&FBovespa ON, ABC Brasil PN, Hypermarcas ON"
2013,03,201303,Ágora Investimentos,"Saem: Cosan ON, TIM Part. ON, Anhanguera ON"
2013,03,201303,Ativa Investimentos,Entram: BR Malls Part. ON
2013,03,201303,Ativa Investimentos,Saem: Autometal ON
2013,03,201303,Citi Corretora,"Entram: Itaú Unibanco PN, Ambev PN"
2013,03,201303,Citi Corretora,"Saem: Bradesco PN, BR Malls Part. ON"
2013,03,201303,Genial Investimentos,"Entram: Itaú Unibanco PN, Cielo ON"
2013,03,201303,Genial Investimentos,"Saem: Vale PNA, BM&FBovespa ON"
2013,03,201303,Guide Investimentos,"Entram: Anhanguera ON, CCR ON, BRF ON"
2013,03,201303,Guide Investimentos,"Saem: Petrobras PN, BM&FBovespa ON,"
2013,03,201303,Planner Corretora,"Entram: CCR ON, São Martinho ON, Lojas Renner ON"
2013,03,201303,Planner Corretora,"Saem: Odontoprev ON, Localiza ON, Alpargatas PN"
2013,03,201303,Rico Corretora,"Entram: Bradesco PN, BM&FBovespa ON"
2013,03,201303,Rico Corretora,"Saem: Itaú Unibanco PN, Helbor ON"
2013,03,201303,Santander Corretora,Entram: Cosan ON
2013,03,201303,Santander Corretora,Saem: Klabin PN
2013,03,201303,Souza Barros CCT,"Entram: Arteris ON, Itaú Unibanco PN"
2013,03,201303,Souza Barros CCT,"Saem: , CCR ON, Lojas Renner ON"
2013,03,201303,XP Investimentos,"Entram: Sabesp ON, Forjas Taurus PN, BR Brokers ON"
2013,03,201303,XP Investimentos,"Saem: Taesa UNIT, Anhanguera ON, Arteris ON"
2013,04,201304,Ágora Investimentos,"Entram: Alpargatas PN, Estácio Part. ON"
2013,04,201304,Ágora Investimentos,"Saem: ABC Brasil PN, Hypermarcas ON"
2013,04,201304,Ativa Investimentos,"Entram: Klabin PN, Anhanguera ON"
2013,04,201304,Ativa Investimentos,"Saem: BR Malls Part. ON, Cosan ON"
2013,04,201304,Citi Corretora,Entram: BRF ON
2013,04,201304,Citi Corretora,Saem: Ambev PN
2013,04,201304,Genial Investimentos,Entram: —
2013,04,201304,Genial Investimentos,Saem: —
2013,04,201304,Guide Investimentos,"Entram: Dasa ON, Bradesco PN, Duratex ON"
2013,04,201304,Guide Investimentos,"Saem: Natura ON, CCR ON, BRF ON"
2013,04,201304,Planner Corretora,"Entram: Totvs ON, Souza Cruz ON, BR Properties ON"
2013,04,201304,Planner Corretora,"Saem: CCR ON, Lojas Renner ON, Multiplan ON"
2013,04,201304,Rico Corretora,"Entram: Kroton ON, Itaú Unibanco PN, Eztec ON"
2013,04,201304,Rico Corretora,"Saem: BR Malls Part. ON, Bradesco PN, Suzano Papel PNA"
2013,04,201304,Santander Corretora,Entram: Randon Part. PN
2013,04,201304,Santander Corretora,Saem: Vale PNA
2013,04,201304,Souza Barros CCT,"Entram: Cetip ON, Oi PN"
2013,04,201304,Souza Barros CCT,"Saem: , Totvs ON"
2013,04,201304,XP Investimentos,"Entram: BR Malls Part. ON, BM&FBovespa ON"
2013,04,201304,XP Investimentos,"Saem: Sabesp ON, BR Brokers ON"
2013,05,201305,Ágora Investimentos,"Entram: Hypermarcas ON, Gerdau PN"
